country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),,Economy: Industry (% of GVA),,,Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),,,,,,,Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Life expectancy at birth (females/males, years)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),,,,,Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.)
Afghanistan,SouthernAsia,652864,35530,54.4,106.3,20270,-2.4,623.2,,23.3,,,10,28.5,8.6,19.3/83.6,,,,,,,3.2,26.7,4,5.3,63.5/61.0,43.2/4.1,382.4/1.2,,,,,3.3,91.1/131.6,39.7/70.7,3.7/13.3
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,2.6,3984.2,,26,,,18.3,40.3,15.8,40.2/61.0,,,,,,,-0.1,57.4,2.2,1.7,79.9/75.6,17.4/19.0,57.6/2.0,,,,,3.5,111.7/115.5,92.5/98.8,68.1/48.7
Algeria,NorthernAfrica,2381741,41318,17.3,102,164779,3.8,4154.1,,37.3,,,34.5,54.7,11.4,17.0/70.7,,,,,,,2,70.7,2.8,3,76.5/74.1,29.3/9.4,242.4/0.6,,,,,...,112.7/119.5,101.7/98.1,45.1/28.9
American Samoa,Polynesia,199,56,278.2,103.6,-99,-99,-99,,-99,,,...,...,...,.../...,,,,,,,-~0.0,87.2,-0.1,2.6,77.8/71.1,33.3/9.0,23.2/41.8,,,,,-99,-99,-99,-99
Andorra,SouthernEurope,468,77,163.8,102.3,2812,0.8,39896.4,,10.8,,,-99,-99,-99,-99,,,,,,,-1.6,85.1,0.1,1.2,-99,14.4/19.0,42.1/59.7,,,,,3.3,-99,-99,-99
Angola,MiddleAfrica,1246700,29784,23.9,96.2,117955,3,4714.1,,51.2,,,37.6,58.2,6.6,59.8/77.1,,,,,,,3.5,44.1,5,6,63.0/57.4,46.8/4.0,106.8/0.4,,,,,,100.4/156.9,22.7/35.1,8.2/10.4
Anguilla,Caribbean,91,15,165.7,97.6,320,2.9,21879.6,,15.7,,,...,...,...,.../...,,,,,,,1.2,100,1.2,...,.../...,23.3/7.6,5.5/37.4,,,,,...,-99,-99,-99
Antigua and Barbuda,Caribbean,442,102,231.8,92.3,1356,4.1,14764.5,,18.3,,,...,...,...,.../...,,,,,,,1.1,23.8,-0.9,2.1,78.2/73.3,23.9/10.9,28.1/30.6,,,,,...,94.1/100.0,103.8/101.6,31.1/15.1
Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,2.4,14564.5,,27.8,,,24.8,73.1,6.5,48.6/74.4,,,,,,,1,91.8,1,2.3,79.8/72.2,24.9/15.4,2086.3/4.8,,,,,5.3,109.8/110.2,110.3/103.4,102.9/63.5
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,3,3489.1,,28.3,,,15.7,49.3,16.6,55.3/74.2,,,,,,,0.3,62.7,-0.1,1.6,77.0/70.6,20.0/16.9,191.2/6.3,,,,,2.8,98.5/98.5,89.0/88.1,46.9/41.6
