country,Region,Surface.area..km2.,Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),"GDP growth rate (annual %, const. 2005 prices)",GDP per capita (current US$),Economy: Industry (% of GVA),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Labour force participation (female/male pop. %),Population growth rate (average annual %),Urban population (% of total population),Urban population growth rate (average annual %),"Fertility rate, total (live births per woman)","Population age distribution (0-14 / 60+ years, %)",International migrant stock (000/% of total pop.),Education: Government expenditure (% of GDP),Education: Primary gross enrol. ratio (f/m per 100 pop.),Education: Secondary gross enrol. ratio (f/m per 100 pop.),Education: Tertiary gross enrol. ratio (f/m per 100 pop.),Total Smoking Rate
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,2.6,3984.2,26,18.3,40.3,15.8,0.659016393,-0.1,57.4,2.2,1.7,0.915789474,28.8,3.5,0.967099567,0.936234818,1.39835729,29.4
Andorra,SouthernEurope,468,77,163.8,102.3,2812,0.8,39896.4,10.8,-99,-99,-99,NA,-1.6,85.1,0.1,1.2,0.757894737,0.70519263,3.3,NA,NA,NA,32.5
Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,2.4,14564.5,27.8,24.8,73.1,6.5,0.653225806,1,91.8,1,2.3,1.616883117,434.6458333,5.3,0.996370236,1.066731141,1.620472441,23.95
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,3,3489.1,28.3,15.7,49.3,16.6,0.745283019,0.3,62.7,-0.1,1.6,1.183431953,30.34920635,2.8,1,1.010215664,1.127403846,26.9
Australia,Oceania,7692060,24451,3.2,99.3,1230859,2.4,51352.2,26.5,21.2,76.1,5.5,0.82602546,1.5,89.4,1.5,1.9,0.904761905,239.8475177,5.2,0.998044966,0.945506016,1.409814324,14.9
Austria,WesternEurope,83871,8736,106,96.2,376967,1,44117.7,28.3,25.6,69.7,6.2,0.829787234,0.6,66,0.4,1.4,0.561752988,85.28,5.5,0.985535198,0.953125,1.200538358,35.15
Azerbaijan,WesternAsia,86600,9828,118.9,99.3,53049,0.7,5438.7,49.9,14.2,49.1,5.2,0.901162791,1.3,54.6,1.6,2.1,2.306930693,97.85185185,2.6,0.983240223,NA,1.165254237,23.45
Bahrain,WesternAsia,771,1493,1963.9,168.3,31126,2.9,22600.2,40.7,33.4,65.6,1.3,0.453474676,2,88.8,1.7,2.1,4.282608696,13.77886497,2.7,1.011928429,0.995117188,1.922330097,28.2
Bangladesh,SouthernAsia,147570,164670,1265,101.7,194466,6.6,1207.9,28.1,19.1,40.3,4,0.532675709,1.2,34.3,3.6,2.2,3.890410959,1580.888889,1.9,1.078448276,1.127090301,0.74025974,20.25
Barbados,Caribbean,431,286,664.5,91.9,4385,0.9,15429.4,12.1,19.3,77.9,11.3,0.882857143,0.3,31.5,0.1,1.8,0.90952381,2.851239669,6.6,1.011815252,1.025949954,2.248138958,7
Belarus,EasternEurope,207600,9468,46.7,87,54609,-3.9,5750.8,38.9,32,58.4,0.5,0.796460177,NA,76.7,NA,1.6,0.784037559,94.99122807,4.9,0.999013807,0.987012987,1.326745718,28.4
Belgium,WesternEurope,30528,11429,377.5,97.3,455107,1.5,40277.8,22.2,21.2,77.6,8.3,0.81663837,0.6,97.9,0.5,1.8,0.695121951,112.8373984,6.6,1,1.136189258,1.313846154,23.25
Benin,WesternAfrica,114763,11176,99.1,99.5,8476,5.2,779.1,24.9,10.2,46.6,1,0.953678474,2.8,44,3.7,5.2,8.54,106.6956522,4.4,0.921758569,0.701649175,0.375,9.35
