country,Region,Surface.area..km2.,Population.in.thousands..2017.,Population.density..per.km2..2017.,Sex.ratio..m.per.100.f..2017.,GDP..Gross.domestic.product..million.current.US..,GDP.growth.rate..annual....const..2005.prices.,GDP.per.capita..current.US..,Economy..Industry....of.GVA.,Employment..Industry....of.employed.,Employment..Services....of.employed.,Unemployment....of.labour.force.,Labour.force.participation..female.male.pop....,Population.growth.rate..average.annual...,Urban.population....of.total.population.,Urban.population.growth.rate..average.annual...,Fertility.rate..total..live.births.per.woman.,Life.expectancy.at.birth..females.males..years.,Population.age.distribution..0.14...60..years....,International.migrant.stock..000...of.total.pop..,Education..Government.expenditure....of.GDP.,Education..Primary.gross.enrol..ratio..f.m.per.100.pop..,Education..Secondary.gross.enrol..ratio..f.m.per.100.pop..,Education..Tertiary.gross.enrol..ratio..f.m.per.100.pop..,totalSmokingRate
Albania,SouthernEurope,28748,2930,106.9,101.9,11541,2.6,3984.2,26,18.3,40.3,15.8,40.2/61.0,-0.1,57.4,2.2,1.7,79.9/75.6,17.4/19.0,57.6/2.0,3.5,111.7/115.5,92.5/98.8,68.1/48.7,29.4
Andorra,SouthernEurope,468,77,163.8,102.3,2812,0.8,39896.4,10.8,-99,-99,-99,-99,-1.6,85.1,0.1,1.2,-99,14.4/19.0,42.1/59.7,3.3,-99,-99,-99,32.5
Argentina,SouthAmerica,2780400,44271,16.2,95.9,632343,2.4,14564.5,27.8,24.8,73.1,6.5,48.6/74.4,1,91.8,1,2.3,79.8/72.2,24.9/15.4,2086.3/4.8,5.3,109.8/110.2,110.3/103.4,102.9/63.5,23.95
Armenia,WesternAsia,29743,2930,102.9,88.8,10529,3,3489.1,28.3,15.7,49.3,16.6,55.3/74.2,0.3,62.7,-0.1,1.6,77.0/70.6,20.0/16.9,191.2/6.3,2.8,98.5/98.5,89.0/88.1,46.9/41.6,26.9
Australia,Oceania,7692060,24451,3.2,99.3,1230859,2.4,51352.2,26.5,21.2,76.1,5.5,58.4/70.7,1.5,89.4,1.5,1.9,84.4/80.2,19.0/21.0,6763.7/28.2,5.2,102.1/102.3,133.6/141.3,106.3/75.4,14.9
Austria,WesternEurope,83871,8736,106,96.2,376967,1,44117.7,28.3,25.6,69.7,6.2,54.6/65.8,0.6,66,0.4,1.4,83.5/78.4,14.1/25.1,1492.4/17.5,5.5,102.2/103.7,97.6/102.4,89.2/74.3,35.15
Azerbaijan,WesternAsia,86600,9828,118.9,99.3,53049,0.7,5438.7,49.9,14.2,49.1,5.2,62.0/68.8,1.3,54.6,1.6,2.1,74.6/68.6,23.3/10.1,264.2/2.7,2.6,105.6/107.4,-99,27.5/23.6,23.45
Bahrain,WesternAsia,771,1493,1963.9,168.3,31126,2.9,22600.2,40.7,33.4,65.6,1.3,38.5/84.9,2,88.8,1.7,2.1,77.5/75.6,19.7/4.6,704.1/51.1,2.7,101.8/100.6,101.9/102.4,59.4/30.9,28.2
Bangladesh,SouthernAsia,147570,164670,1265,101.7,194466,6.6,1207.9,28.1,19.1,40.3,4,43.2/81.1,1.2,34.3,3.6,2.2,72.9/69.8,28.4/7.3,1422.8/0.9,1.9,125.1/116.0,67.4/59.8,11.4/15.4,20.25
Barbados,Caribbean,431,286,664.5,91.9,4385,0.9,15429.4,12.1,19.3,77.9,11.3,61.8/70.0,0.3,31.5,0.1,1.8,77.7/72.9,19.1/21.0,34.5/12.1,6.6,94.2/93.1,110.7/107.9,90.6/40.3,7
Belarus,EasternEurope,207600,9468,46.7,87,54609,-3.9,5750.8,38.9,32,58.4,0.5,54.0/67.8,~0.0,76.7,~0.0,1.6,77.7/66.5,16.7/21.3,1082.9/11.4,4.9,101.3/101.4,106.4/107.8,100.7/75.9,28.4
Belgium,WesternEurope,30528,11429,377.5,97.3,455107,1.5,40277.8,22.2,21.2,77.6,8.3,48.1/58.9,0.6,97.9,0.5,1.8,83.0/78.0,17.1/24.6,1387.9/12.3,6.6,104.2/104.2,177.7/156.4,85.4/65.0,23.25
Benin,WesternAfrica,114763,11176,99.1,99.5,8476,5.2,779.1,24.9,10.2,46.6,1,70.0/73.4,2.8,44,3.7,5.2,61.4/58.5,42.7/5.0,245.4/2.3,4.4,123.7/134.2,46.8/66.7,8.4/22.4,9.35
Bosnia and Herzegovina,SouthernEurope,51209,3507,68.8,96.4,16251,3.1,4265,26.5,30.4,51.7,25.4,34.3/57.5,-1,39.8,0.1,1.3,78.8/73.7,14.1/23.4,34.8/0.9,-99,-99,-99,-99,38.6
Brazil,SouthAmerica,8515767,209288,25,96.6,1772591,-3.8,8528.3,22.7,21.5,63.2,12.4,56.0/78.2,0.9,85.7,1.2,1.8,78.4/71.0,21.7/12.6,713.6/0.3,6,113.8/116.8,102.2/97.2,59.3/42.4,15.3
Bulgaria,EasternEurope,111002,7085,65.3,94.6,48953,3,6846.8,27.6,29.4,64.1,8.1,48.5/60.1,-0.6,73.9,-0.3,1.5,77.8/70.8,14.2/27.7,102.1/1.4,4.1,96.7/97.7,97.4/100.5,82.9/65.4,35.3
Burkina Faso,WesternAfrica,272967,19193,70.2,99.5,11065,4.1,611.1,21.8,4.9,15.1,2.9,76.5/90.5,3,29.9,5.9,5.6,59.3/58.0,45.2/3.9,704.7/3.9,4.1,86.1/89.9,32.2/35.1,3.8/7.3,20.25
Cambodia,South-easternAsia,181035,16005,90.7,95.3,18050,7,1158.7,29.4,19.6,38,0.3,75.6/87.0,1.6,20.7,2.6,2.7,69.6/65.5,31.3/7.1,74.0/0.5,1.9,116.2/117.1,.../...,11.8/14.3,23.45
Cameroon,MiddleAfrica,475650,24054,50.9,100.2,28416,5.8,1217.3,28.3,8.7,29.5,4.6,71.1/81.2,2.7,54.4,3.6,5,57.7/55.1,42.7/4.8,382.0/1.6,3,110.7/123.5,53.5/62.6,15.2/19.7,22.35
Canada,NorthernAmerica,9984670,36624,4,98.5,1552808,0.9,43205.6,28.6,19.5,78.4,7.1,60.7/69.9,1,81.8,1.2,1.6,83.8/79.7,16.0/23.5,7835.5/21.8,5.3,101.1/100.1,110.0/109.8,.../...,14.95
Chile,SouthAmerica,756102,18055,24.3,98.2,240796,2.3,13416.2,32.8,22.9,67.5,6.8,50.7/74.7,0.9,89.5,1.1,1.8,81.3/76.2,20.3/16.0,469.4/2.6,4.9,100.0/103.3,101.3/100.0,94.4/83.0,38
China,EasternAsia,9600000,1409517,150.1,106.3,11158457,6.9,8109.1,41.1,23.9,49.1,4.6,63.0/77.7,0.5,55.6,3,1.6,77.2/74.2,17.7/16.2,978.0/0.1,-99,104.3/104.0,95.6/93.2,47.3/39.9,24.7
Colombia,SouthAmerica,1141748,49066,44.2,96.8,292080,3.1,6056.1,34,16.6,69.9,10.5,58.0/79.8,1,76.4,1.7,1.9,77.4/70.2,23.5/11.6,133.1/0.3,4.5,111.6/115.4,101.5/94.8,59.9/51.5,11.1
Comoros,EasternAfrica,2235,814,437.4,101.8,1079,4.8,1368.9,4,5.2,32.8,20,35.7/79.5,2.4,28.3,2.7,4.6,64.5/61.2,39.8/4.9,12.6/1.6,4.3,99.5/106.8,62.4/58.4,8.0/9.8,14.55
Costa Rica,CentralAmerica,51100,4906,96.1,100.1,52958,3.7,11015,21.5,19.1,69.3,8.6,46.9/76.5,1.1,76.8,2.7,1.9,81.7/76.7,21.6/13.6,421.7/8.8,7.2,109.5/110.1,125.6/120.7,60.9/46.6,13.4
Croatia,SouthernEurope,56594,4189,74.9,93.1,48676,1.6,11479.4,26.6,26.8,64,11.7,46.3/58.4,-0.4,59,0.1,1.5,80.4/73.6,14.7/26.8,576.9/13.6,4.6,98.1/97.8,100.6/95.9,79.8/58.8,36.45
Cuba,Caribbean,109884,11485,107.9,100.1,87206,4.4,7656.6,20.5,11.7,75.3,3,42.1/68.3,0.2,77.1,0.1,1.7,81.3/77.1,16.0/20.1,13.3/0.1,...,94.9/100.1,102.7/98.2,43.0/30.1,35.25
Denmark,NorthernEurope,42921,5734,135.1,99,301308,1.6,53149.3,22.9,19.2,78.4,6,58.1/66.0,0.5,87.7,0.6,1.7,82.2/78.1,16.5/25.3,572.5/10.1,8.6,100.7/102.3,133.4/128.3,96.3/69.7,17
Dominican Republic,Caribbean,48671,10767,222.8,99.2,67103,7,6373.6,28,16.9,70,14.4,52.3/78.6,1.2,79,2.6,2.5,76.4/70.2,29.3/10.2,415.6/3.9,...,98.7/108.1,81.7/74.1,65.0/35.4,14.1
Ecuador,SouthAmerica,257217,16625,66.9,99.9,100177,0.2,6205.1,34.1,19.2,55.1,5.8,49.1/79.9,1.6,63.7,1.9,2.6,78.4/72.8,28.4/10.5,387.5/2.4,5,107.9/107.4,109.2/105.3,45.3/34.6,8.65
Egypt,NorthernAfrica,1002000,97553,98,102.3,315917,4.2,3452.3,36.3,25.3,49.3,11.5,23.1/76.2,2.2,43.1,1.7,3.4,73.0/68.7,33.5/7.9,491.6/0.5,...,103.8/104.1,85.9/86.3,35.6/36.9,25.1
